global_ordinal,route,pipeline_action,decision_before,input_pixel_sha256,output_pixel_sha256,output_sha256,output_width,output_height
52,preserve,preserve-and-continue,correction-candidate,93bc8c342ffa027e6cff14592b95e985df5917309eae7eef2398341d0c86eb76,93bc8c342ffa027e6cff14592b95e985df5917309eae7eef2398341d0c86eb76,d2e88df251246230bce79140d16366a42b113e665838a7eda19f6662aa7b3a60,1616,1243
53,preserve,preserve-and-continue,correction-candidate,db4f9004eef94ee42b3fd8f5abdc4fb2f828105285bcd797d2c70fdbdeca9060,db4f9004eef94ee42b3fd8f5abdc4fb2f828105285bcd797d2c70fdbdeca9060,040403130c7663e59bc66b4282cc4deebbe4f72d541ee85221fb237388baa802,1583,1219
54,preserve,preserve-and-continue,correction-candidate,167c3e15a67262cce804f8c47a3a5dd33d968f6a0f6507aea5c4536ad8b46f42,167c3e15a67262cce804f8c47a3a5dd33d968f6a0f6507aea5c4536ad8b46f42,4f02536a1c2f6219fa8ffa891cc43805818f7d18cbbb2c828426d78d69ffc7ec,1649,1258
55,preserve,preserve-and-continue,correction-candidate,82f60b71fafe7ac41cf837aad5ca4cd1584a32204eb22824c6447c0ffb463fe2,82f60b71fafe7ac41cf837aad5ca4cd1584a32204eb22824c6447c0ffb463fe2,87d014de7751d6e029c57163c7f437187159d0204e72d314df88848afaf13306,1642,1254
56,preserve,preserve-and-continue,correction-candidate,d0b94e0375c45760f2b937937a4c4e465429712d9de50504fc8a7c12802c4f92,d0b94e0375c45760f2b937937a4c4e465429712d9de50504fc8a7c12802c4f92,949cda9646818939ec67f5633d16fa737ce7f2ca2e85ddfe2ba36b07c49f83dd,1715,1312
57,preserve,preserve-and-continue,correction-candidate,2ff5cc8b91b54242819ff330de876d5f06c857dd977152666ab3c8b93392dd12,2ff5cc8b91b54242819ff330de876d5f06c857dd977152666ab3c8b93392dd12,27841860e75bcaf3de6f5b8df6a29ac9e93fa86c37da65533275267020c146be,1680,1292
58,preserve,preserve-and-continue,correction-candidate,6e3733ceb06f906332314d86d869e0626b3bacdf82b5c937b967e60f03d72c49,6e3733ceb06f906332314d86d869e0626b3bacdf82b5c937b967e60f03d72c49,603832dd7acf0f2424b76b581d63fa8b0f17870f309e8a941996b43e7d134399,1639,1265
59,preserve,preserve-and-continue,correction-candidate,3e16257f0b72b20790b47dc553d7896d9233ad20b23e935ff3e0777427b96877,3e16257f0b72b20790b47dc553d7896d9233ad20b23e935ff3e0777427b96877,b2f5d2f8da8d81d255c5b5cbf11f183e8006899f67b1753ebe262aae0ec7dcde,1700,1317
60,preserve,preserve-and-continue,correction-candidate,06741173ea962e79d516781294bfe944f67dfe26cc8608311b35c06ab08d6ae8,06741173ea962e79d516781294bfe944f67dfe26cc8608311b35c06ab08d6ae8,1e8884895109dd49962ebcd560df0964f014e3e475b610c81b43683659197d39,1657,1265
61,preserve,preserve-and-continue,correction-candidate,1baf8ba3462be2c51de5bf90d71cc26ef13010b5a3fc4e02e24fd792f302bef8,1baf8ba3462be2c51de5bf90d71cc26ef13010b5a3fc4e02e24fd792f302bef8,1e67537272c879477746dfa19b97d4c462c1a18dddc49372e89fb4849d180042,1674,1292
